data.name,date,aed,ars,aud,bch,bdt,bhd,bmd,bnb,brl,btc,cad,chf,clp,cny,czk,dkk,dot,eos,eth,eur,gbp,hkd,huf,idr,ils,inr,jpy,krw,kwd,lkr,ltc,mmk,mxn,myr,ngn,nok,nzd,php,pkr,pln,rub,sar,sek,sgd,thb,try,twd,uah,usd,vef,vnd,xag,xau,xdr,xlm,xrp,yfi,zar,bits,link,sats
Cosmos,01-07-2021,44.19780237,1151.631184,16.04715211,0.022842191,1020.81552,4.536507581,12.03250636,0.03961534,59.80877613,0.000342379,14.91320871,11.13213798,8811.407237,77.69630009,258.8047849,75.46890267,0.73315296,2.912239925,0.005273856,10.14833619,8.700452668,93.42681679,3566.976349,175021.2278,39.21141141,894.9062299,1337.190481,13595.99826,3.619967507,2395.682954,0.08333192,19813.29734,239.9183824,49.95295017,4935.236133,103.5838164,17.2002272,587.5438083,1897.064614,45.90179779,879.2188497,45.12728942,102.8612764,16.18504463,385.5215039,104.749309,334.9837739,329.0128111,12.03250636,1.204814862,277722.1766,0.461156997,0.006804864,8.43017851,42.61321389,17.20454929,0.000355672,171.7407936,342.3789016,0.615076859,34237.89016
Filecoin,01-07-2021,222.38586,5794.552614,80.7429223,0.114945979,5136.339932,22.82591183,60.54281281,0.199337436,300.9341054,0.001722841,75.03736762,56.01251521,44335.51605,390.9370509,1302.203313,379.7296681,3.689204947,14.65435386,0.026537479,51.06241375,43.77723654,470.0867891,17947.61414,880637.5923,197.296313,4502.814187,6728.213602,68409.68561,18.21424469,12054.12906,0.419296495,99692.67547,1207.174406,251.3434874,24832.15619,521.1927936,86.54474005,2956.288053,9545.278794,230.959691,4423.881495,227.0626712,517.5572583,81.43674294,1939.791722,527.0570916,1685.505854,1655.462331,60.54281281,6.062151847,1397388.145,2.320359606,0.034239382,42.41732388,214.4109397,86.53892105,0.001789731,864.1317447,1722.841176,3.095045396,172284.1176
XRP,01-07-2021,2.569966416,66.96381511,0.933092592,0.001328203,59.35728614,0.263783978,0.699653277,0.00230351,3.477696577,1.99E-05,0.867157268,0.647299621,512.3562589,4.517801138,15.0487031,4.388284822,0.042630592,0.169337804,0.000306658,0.59009457,0.505904592,5.432482355,207.4087156,10176.94667,2.280023101,52.03604778,77.75351812,790.5655266,0.210489989,139.3016034,0.004845495,1152.082366,13.95051682,2.904610578,286.9688182,6.023080675,1.000140366,34.1638673,110.3084788,2.669048514,51.12387482,2.624013232,5.981067195,0.941110619,22.41689098,6.090850491,19.47827726,19.13108411,0.699653277,0.070056283,16148.6913,0.026814863,0.000395682,0.49018898,2.477827464,1,2.07E-05,9.986199494,19.90828121,0.03576483,1990.828121
TRON,01-07-2021,0.25067085,6.531554779,0.091012517,0.000129551,5.789624819,0.025729112,0.06824318,0.000224681,0.339209552,1.94E-06,0.08458128,0.06313668,49.97449692,0.440659863,1.467828983,0.428027027,0.004158127,0.016516967,2.99E-05,0.057556981,0.049345211,0.529876561,20.23034956,992.6448266,0.222390193,5.075521698,7.583966983,77.11063109,0.020530893,13.58727922,0.000472623,112.3724668,1.360713464,0.283311563,27.99052822,0.587482677,0.097552261,3.332294768,10.7593313,0.260335176,4.986549652,0.255942499,0.583384742,0.091794584,2.186511494,0.594092848,1.899883313,1.86601859,0.06824318,0.00683319,1575.12026,0.002615483,3.86E-05,0.047812332,0.241683748,0.097576774,2.02E-06,0.97403962,1.941825284,0.00348845,194.1825284
Cardano,01-07-2021,5.087980125,132.5739349,1.847322415,0.002629556,117.5146454,0.522235477,1.385162835,0.004560454,6.885090387,3.94E-05,1.716784669,1.28151387,1014.355069,8.944273457,29.79319177,8.687859039,0.084399393,0.33525239,0.000607118,1.168260187,1.001582157,10.75514531,410.6245966,20148.16305,4.513954795,103.0201699,153.9352236,1565.149514,0.416724854,275.7871795,0.009593037,2280.875013,27.6190194,5.750503509,568.1364685,11.92440282,1.980062569,67.63710091,218.3870359,5.284141345,101.2142639,5.194981184,11.84122517,1.863196381,44.38061723,12.05857246,38.56279481,37.87542714,1.385162835,0.138696355,31970.93156,0.053087654,0.000783365,0.97046863,4.90556484,1.980560122,4.09E-05,19.77052472,39.41411005,0.070806662,3941.411005
Chainlink,01-07-2021,71.85746647,1872.339681,26.08970656,0.037137186,1659.657563,7.375523757,19.5626338,0.064407229,97.23802756,0.000556645,24.24612396,18.09880104,14325.72133,126.319839,420.7687974,122.698502,1.191971353,4.734764435,0.008574315,16.49932097,14.14532968,151.8947548,5799.244976,284552.2024,63.75051539,1454.952304,2174.024838,22104.58295,5.885398815,3894.938172,0.135482316,32212.76337,390.0629939,81.21427421,8023.782765,168.4081609,27.96439376,955.2377548,3084.27681,74.62784841,1429.44752,73.3686408,167.2334443,26.31389435,626.7867869,170.3030367,544.6217687,534.9140855,19.5626338,1.958806522,451524.9836,0.749756134,0.011063452,13.7059138,69.28121816,27.97142069,0.000578257,279.218822,556.644881,1,55664.4881
Tether,01-07-2021,3.689580903,96.14897969,1.339597509,0.001915856,85.21648689,0.378689295,1.004459573,0.003322076,4.992766753,2.87E-05,1.244963355,0.929395305,735.5659813,6.485996354,21.60120546,6.299111628,0.061907563,0.245405724,0.000444059,0.847089887,0.72635686,7.799176577,297.6315296,14610.56761,3.273322812,74.70532472,111.6053597,1135.9468,0.302200703,199.988814,0.006992449,1653.990913,20.02894096,4.170013917,411.9877462,8.646393026,1.436532881,49.16829609,158.3647376,3.831840504,73.39616233,3.767115138,8.591013152,1.351056384,32.17635573,8.738743039,27.98524816,27.46560506,1.004459573,0.100576537,23178.57183,0.038494648,0.0005677,0.703741453,3.554761658,1.454799589,2.97E-05,14.34372991,28.71058722,0.051785411,2871.058722
Uniswap,01-07-2021,70.77229802,1844.064206,25.69570817,0.036576352,1634.593946,7.264140959,19.26720517,0.063434572,95.76957,0.000548239,23.87996675,17.82547874,14109.37887,124.4121972,414.4144817,120.8455485,1.173970583,4.663261539,0.008444829,16.25015351,13.93171144,149.6008889,5711.666635,280254.9862,62.78777552,1432.98008,2141.193411,21770.76662,5.796519407,3836.118062,0.133436306,31726.29653,384.1723875,79.98780225,7902.610167,165.8649148,27.54208444,940.81206,3037.699049,73.50084254,1407.860462,72.26065108,164.7079384,25.91651034,617.3212535,167.7311748,536.3970651,526.8359843,19.26720517,1.929225253,444706.1978,0.738433556,0.010896375,13.49893148,68.23495538,27.54900525,0.000569524,275.0021488,548.2386082,0.984899711,54823.86082
Stellar,01-07-2021,1.038081873,27.04939194,0.37691342,0.000535321,23.97608092,0.106549784,0.282609679,0.000930404,1.404767931,8.04E-06,0.350307697,0.261470758,206.9551249,1.824867219,6.078750497,1.772602798,0.017223614,0.068295643,0.000123987,0.238378438,0.204348841,2.194421765,83.73442176,4110.755606,0.920965595,21.01882639,31.40839188,319.5322157,0.085022839,56.26784396,0.001952592,465.3585405,5.634971344,1.173254082,115.9147942,2.432939247,0.403960014,13.79928744,44.55670376,1.078048533,20.65037402,1.059912905,2.416411668,0.380138279,9.049161918,2.461092823,7.866129824,7.727584103,0.282609679,0.028297707,6522.911584,0.010834792,0.000159861,0.198001145,1,0.402081939,8.36E-06,4.033654599,8.044507022,0.014462865,804.4507022
Status,01-07-2021,0.293103529,7.63719339,0.106418796,0.000151498,6.769672136,0.030084446,0.079795146,0.000262726,0.396629751,2.27E-06,0.098898901,0.073824234,58.43400391,0.515253214,1.716297908,0.500481936,0.004862355,0.01931437,3.50E-05,0.067300024,0.057698194,0.619572201,23.65487195,1160.67625,0.260035623,5.934688152,8.867754228,90.16364739,0.02400629,15.88728603,0.000552631,131.3944825,1.591050251,0.331269547,32.72866634,0.686929677,0.114065565,3.896373901,12.58063305,0.304403798,5.830655231,0.299267544,0.682138059,0.107333248,2.556636466,0.694658795,2.221488875,2.181891651,0.079795146,0.007989888,1841.751075,0.003058223,4.51E-05,0.055905836,0.282592621,0.114057895,2.36E-06,1.13892162,2.270696656,0.004079255,227.0696656
